Type;Rent;Move in price;Address;Link
2 værelses lejlighed på 54 m²;4.038;20.940,-;Poul Paghs Gade, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/54m2-2-vaer-id-5124274
2 værelses lejlighed på 47 m²;4.085;21.111,-;Kastetvej, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/47m2-2-vaer-id-5147885
2 værelses lejlighed på 47 m²;4.085;21.111,-;Kastetvej, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/47m2-2-vaer-id-5147885
1 værelses lejlighed på 46 m²;4.093;21.065,-;Ny Kastetvej, 9000 Aalborg, Aalborg - 3. sal;https://www.boligportal.dk/lejligheder/aalborg/46m2-1-vaer-id-5176464
2 værelses lejlighed på 38 m²;4.120;16.980,-;Reberbansgade, 9000 Aalborg, Aalborg - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/38m2-2-vaer-id-3037805
2 værelses lejlighed på 63 m²;4.138;15.468,-;Tinghusgade, 9400 Aalborg, Nørresundby - 2. sal;https://www.boligportal.dk/lejligheder/aalborg/63m2-2-vaer-id-5165715
2 værelses lejlighed på 54 m²;4.185;17.504,-;Østerbro, 9000 Aalborg, Aalborg - 3. sal;https://www.boligportal.dk/lejligheder/aalborg/54m2-2-vaer-id-3999021
2 værelses lejlighed på 46 m²;4.200;21.300,-;Strubjerg, 9400 Aalborg, Nørresundby - 3. sal;https://www.boligportal.dk/lejligheder/aalborg/46m2-2-vaer-id-3673929
2 værelses lejlighed på 40 m²;4.200;21.300,-;Ågade, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/40m2-2-vaer-id-5163341
2 værelses lejlighed på 64 m²;4.200;17.150,-;Langelandsgade, 9000 Aalborg, Aalborg - 1. sal;https://www.boligportal.dk/lejligheder/aalborg/64m2-2-vaer-id-5172880
2 værelses lejlighed på 60 m²;4.200;21.900,-;Nørholmsvej, 9000 Aalborg, Aalborg - Stuen;https://www.boligportal.dk/lejligheder/aalborg/60m2-2-vaer-id-5137697
