Type;Rent;Move in price;Address;Link
1 værelses lejlighed på 39 m²;8.000;40.450;Tagensvej, 2200 København, København N - 1. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/39m2-1-vaer-id-5201494
1 værelses lejlighed på 30 m²;7.995;40.655;Teglværksgade, 2100 København, København Ø;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/30m2-1-vaer-id-5184255
1 værelses lejlighed på 50 m²;8.200;41.450;Smallegade, 2000 København, Frederiksberg - 3. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/50m2-1-vaer-id-5202152
1 værelses lejlighed på 30 m²;8.300;41.940;Teglværksgade, 2100 København, København Ø - 5. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/30m2-1-vaer-id-5186524
1 værelses lejlighed på 30 m²;8.300;41.940;Teglværksgade, 2100 København, København Ø - 5. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/30m2-1-vaer-id-5186526
1 værelses lejlighed på 36 m²;7.000;42.000;Midtermolen, 2100 København, København Ø - Stuen;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/36m2-1-vaer-id-5199414
2 værelses lejlighed på 50 m²;8.500;42.500;Rosbæksvej, 2100 København, København Ø;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/50m2-2-vaer-id-5200376
1 værelses lejlighed på 33 m²;8.500;42.900;Amerikavej, 1756 København, København V - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/33m2-1-vaer-id-5193668
1 værelses lejlighed på 34 m²;8.500;42.900;Amerikavej, 1756 København, København V - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/34m2-1-vaer-id-5192020
1 værelses lejlighed på 34 m²;8.500;42.900;Amerikavej, 1756 København, København V - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/34m2-1-vaer-id-5191966
1 værelses lejlighed på 34 m²;8.500;42.900;Amerikavej, 1756 København, København V - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/34m2-1-vaer-id-5192019
1 værelses lejlighed på 34 m²;8.500;42.900;Amerikavej, 1756 København, København V - 3. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/34m2-1-vaer-id-5192270
1 værelses lejlighed på 31 m²;8.600;43.400;Amerikavej, 1756 København, København V - 2. sal;https://www.boligportal.dk/lejligheder/k%C3%B8benhavn/31m2-1-vaer-id-5191962
